"#","Item Description","Quantity","Price (Excl.
VAT)","Tax","Disc","Total"
"1","Reclining Safari Seats","4","16,000.00","10,240.00","0.00","74,240.00"
"2","Fixed Safari Seats","2","13,500.00","4,320.00","0.00","31,320.00"
